customer_id,age,annual_income,employment_length_years,credit_history_years,credit_score,revolving_limit,credit_utilization,debt_to_income,delinquencies_2y,hard_inquiries_6m,open_accounts,loan_amount,term_months,apr,monthly_payment,purpose,region,defaulted
C100000,25,116210.05,0.0,0.5,593,25292.92,0.669,0.02,4,0,4,37100,60,0.128,840.58,credit_card,West,0
C100001,62,42906.21,4.4,13.0,559,14880.15,0.258,0.312,0,2,9,8900,36,0.129,299.35,debt_consolidation,South,0
C100002,56,18000.0,1.4,13.3,460,4079.26,0.362,0.636,4,1,14,5300,36,0.241,208.27,debt_consolidation,West,0
C100003,44,24595.37,2.0,7.4,507,4651.59,0.524,1.013,0,3,6,1100,36,0.277,45.34,debt_consolidation,Northeast,0
C100004,44,142064.63,1.3,2.6,609,46293.31,0.733,0.165,2,1,6,23900,36,0.144,821.46,debt_consolidation,Northeast,0
C100005,67,52127.73,6.0,6.9,548,18799.21,0.328,0.247,1,0,5,6300,36,0.149,218.08,medical,West,0
C100006,25,43012.41,3.3,1.2,481,9466.35,0.564,0.437,0,2,9,1500,36,0.23,58.03,medical,Northeast,0
C100007,58,160428.83,10.3,10.6,640,23085.73,0.7,0.02,1,2,6,40000,60,0.11,870.06,debt_consolidation,Midwest,0
C100008,31,130350.27,0.1,3.7,535,27484.36,0.797,0.141,0,3,8,40000,36,0.169,1424.4,debt_consolidation,Midwest,0
C100009,26,65879.94,5.9,0.5,509,10254.38,0.731,0.17,1,1,8,23700,36,0.201,881.74,credit_card,Northeast,1
C100010,49,55313.42,8.4,12.7,602,7900.68,0.409,0.407,1,1,14,14600,36,0.148,504.41,debt_consolidation,South,0
C100011,73,60444.86,12.2,10.7,535,11087.2,1.0,0.672,3,3,6,23100,36,0.265,936.51,debt_consolidation,Midwest,1
C100012,60,73650.2,7.2,2.4,530,6549.11,0.604,0.286,2,0,9,7400,36,0.188,270.57,medical,South,0
C100013,62,156712.56,6.2,8.6,612,16674.85,0.242,0.02,0,2,6,16700,60,0.087,343.99,credit_card,South,0
C100014,59,82002.06,3.8,8.7,709,21449.15,0.244,0.02,0,1,7,21200,36,0.047,632.83,major_purchase,Midwest,0
C100015,63,96902.3,5.6,19.7,665,17045.12,0.291,0.035,1,2,12,5300,36,0.065,162.54,major_purchase,Midwest,0
C100016,48,123653.81,1.9,9.9,668,17678.82,0.65,0.264,1,1,8,40000,60,0.115,879.47,major_purchase,West,0
C100017,27,34160.35,0.0,1.3,424,5507.85,0.673,0.308,2,0,7,10700,60,0.243,309.5,debt_consolidation,Northeast,1
C100018,66,98451.23,9.1,17.4,653,35954.5,0.247,0.02,0,1,6,13200,36,0.078,412.3,credit_card,South,0
C100019,45,55277.97,2.7,4.9,480,12667.72,0.65,0.287,1,1,7,15600,60,0.215,426.58,medical,Northeast,0
C100020,48,18000.0,1.8,13.4,464,5008.09,0.625,0.397,3,3,10,4600,36,0.215,174.54,debt_consolidation,South,1
C100021,41,20163.9,4.0,5.6,456,7134.39,0.83,0.803,4,2,3,8500,36,0.29,355.99,small_business,South,1
C100022,30,37129.9,0.0,5.9,442,8351.22,1.0,0.579,6,2,12,5800,36,0.284,241.06,home_improvement,West,1
C100023,71,87056.74,6.0,18.9,650,15934.1,0.352,0.156,1,3,12,14300,36,0.081,448.99,medical,South,0
C100024,63,69198.35,4.9,14.9,633,5650.32,0.295,0.215,2,0,8,10500,36,0.114,345.88,other,Midwest,0
C100025,55,71936.87,3.1,5.5,554,16072.08,0.57,0.545,1,2,3,15700,36,0.196,579.95,small_business,South,1
C100026,42,190072.62,1.9,11.6,612,42323.16,0.244,0.02,0,1,10,40000,60,0.103,856.46,home_improvement,Northeast,0
C100027,65,32342.69,5.7,17.1,493,5885.25,0.545,0.658,2,0,6,2300,36,0.226,88.58,debt_consolidation,Northeast,1
C100028,50,64026.62,3.6,9.6,579,8083.92,0.632,0.31,5,1,5,7000,36,0.159,245.7,major_purchase,Northeast,0
C100029,44,76847.8,2.6,6.7,579,16727.83,0.547,0.285,1,5,13,11200,36,0.148,387.29,car,South,0
C100030,45,43355.65,6.9,5.9,532,8649.41,0.433,0.49,4,2,4,8500,60,0.187,219.26,debt_consolidation,South,0
C100031,33,66020.61,5.0,4.0,537,18185.55,0.617,0.22,1,2,3,6800,60,0.184,173.98,medical,South,0
C100032,25,26961.64,0.0,5.1,507,9372.08,0.472,0.963,1,6,7,5900,36,0.266,239.56,home_improvement,West,0
C100033,50,141151.77,1.0,3.6,645,11069.24,0.714,0.02,0,0,5,27000,60,0.105,580.84,credit_card,Northeast,0
C100034,68,44678.81,12.6,17.7,570,15261.28,0.425,0.606,1,1,12,10200,36,0.17,363.58,home_improvement,South,0
C100035,24,198672.42,2.1,0.5,564,34559.34,0.543,0.02,2,0,8,40000,36,0.144,1374.48,debt_consolidation,Midwest,0
C100036,67,63849.35,5.3,15.0,589,22241.31,0.33,0.673,0,0,8,21500,36,0.18,776.83,home_improvement,Northeast,0
C100037,65,114413.23,4.3,15.7,655,39609.87,0.485,0.264,0,2,10,6900,36,0.112,226.6,debt_consolidation,Northeast,0
C100038,35,63122.08,5.4,6.2,585,19820.65,0.532,0.566,1,3,10,8200,36,0.18,296.46,debt_consolidation,Midwest,0
C100039,55,63910.15,12.0,17.2,603,20264.2,0.762,0.287,3,1,12,6000,36,0.174,215.05,car,South,0
C100040,29,47142.32,0.8,2.1,488,13263.08,0.921,0.489,6,1,5,13500,60,0.251,396.79,small_business,Northeast,1
C100041,61,69401.29,6.9,8.5,606,24565.37,0.214,0.309,2,1,15,7100,36,0.115,233.99,credit_card,South,0
C100042,58,77423.21,4.7,11.5,620,12054.17,0.357,0.09,2,0,8,14200,36,0.099,457.47,debt_consolidation,South,0
C100043,40,42226.38,3.0,0.8,459,4531.11,0.465,0.477,3,1,7,7300,36,0.215,276.81,credit_card,South,0
C100044,24,60679.92,4.9,1.7,538,15548.74,0.554,0.308,2,1,4,17200,36,0.177,619.59,debt_consolidation,South,0
C100045,73,46471.21,8.2,20.0,548,8538.67,0.639,0.492,3,3,12,11500,60,0.181,292.44,credit_card,South,1
C100046,45,230258.48,2.4,7.3,593,30681.75,0.239,0.02,1,2,13,40000,36,0.094,1279.92,credit_card,South,0
C100047,69,61870.0,4.0,18.2,607,17863.92,0.354,0.616,5,2,9,17000,36,0.163,600.32,major_purchase,Midwest,0
C100048,57,152058.44,4.7,10.8,617,59703.81,0.693,0.02,0,1,8,40000,60,0.126,901.03,other,South,0
C100049,63,58369.59,4.5,9.4,554,12244.03,0.541,0.255,2,1,3,11100,36,0.164,392.43,credit_card,South,0
C100050,62,74963.06,3.3,14.9,659,23286.92,0.366,0.39,1,0,12,14500,36,0.123,483.93,credit_card,Northeast,0
C100051,31,31426.05,3.7,5.2,452,3810.23,0.483,0.755,2,4,9,4900,36,0.264,198.35,debt_consolidation,South,0
C100052,40,50830.54,3.2,5.0,595,11204.75,0.434,0.161,1,1,9,16500,36,0.103,534.91,home_improvement,South,0
C100053,46,72979.7,9.0,8.4,619,31625.68,0.502,0.353,1,0,5,22100,36,0.127,741.87,home_improvement,Midwest,0
C100054,47,155506.79,0.2,9.2,600,24975.54,0.679,0.02,3,4,6,31900,36,0.128,1072.0,home_improvement,Midwest,0
C100055,23,73440.66,4.7,1.7,594,12242.65,0.568,0.276,1,2,7,6300,36,0.159,221.19,credit_card,South,0
C100056,50,139133.44,6.1,13.9,620,49810.63,0.237,0.02,0,1,9,14600,60,0.086,300.39,credit_card,West,0
C100057,29,92461.12,1.6,5.9,663,21253.54,0.074,0.426,2,0,5,14700,36,0.077,458.6,credit_card,South,0
C100058,61,159088.08,5.0,13.1,653,60000.0,0.31,0.02,0,0,4,24200,60,0.078,488.83,debt_consolidation,South,0
C100059,57,62923.14,2.4,13.4,622,11612.63,0.581,0.618,4,0,7,12800,36,0.173,458.45,other,West,0
C100060,70,242017.43,0.6,10.2,637,26006.24,0.368,0.02,1,2,10,34100,36,0.089,1083.49,debt_consolidation,South,0
C100061,61,49770.35,9.4,6.0,544,16901.19,0.845,0.207,2,5,11,6800,36,0.19,249.31,medical,South,0
C100062,40,42641.73,3.9,6.6,508,4540.85,0.463,0.704,1,1,4,9300,36,0.214,352.17,credit_card,South,1
C100063,73,33410.1,3.3,14.5,486,5467.18,1.0,0.389,6,2,3,5800,60,0.241,167.3,other,Midwest,1
C100064,43,234264.5,8.2,7.7,634,25232.74,0.545,0.02,0,2,11,16000,60,0.115,351.77,debt_consolidation,South,0
C100065,38,102011.28,3.3,3.6,618,31192.81,0.111,0.121,1,1,9,17500,36,0.082,549.8,major_purchase,Midwest,0
C100066,69,54088.46,12.4,3.4,486,5726.93,0.378,0.287,1,1,8,7500,36,0.185,272.9,major_purchase,South,0
C100067,41,129198.47,1.3,2.5,635,42418.04,0.125,0.02,3,0,4,23000,36,0.079,720.12,car,South,0
C100068,25,94880.48,0.0,1.9,591,35603.61,0.401,0.436,0,1,8,6900,36,0.157,241.71,other,West,0
C100069,46,191666.6,1.1,8.1,609,16056.21,0.916,0.02,3,0,11,40000,36,0.141,1369.99,other,South,0
C100070,63,27745.65,2.3,3.1,424,4873.82,0.825,0.597,2,2,4,11100,36,0.281,459.89,debt_consolidation,South,1
C100071,31,56173.17,2.5,1.4,588,15173.38,0.188,0.245,3,1,6,13200,36,0.113,434.13,car,West,0
